verse_key,version_id,eng,local
MAT.16.1,555,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Yesu talɩ Magaadaɣ peeɖe lɛ, Farɩsɩ ñɩma nɛ Saduki ñɩma powolo pañɩ ɛ-nɔɔ cɔlɔ tɔm. Pɔpɔzɩ-ɩ se ɛla ɛsɔdaa hama lakasɩ nasɩyɩ nɛ pana."
MAT.16.2,555,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Peeɖe ecosi-wɛ se: «Wɩsɩ kɔŋ se sɩɖʋʋ lɛ, ɩtɔŋ se: ‹Alɩwaatʋ wɛɣ camɩyɛ, mbʋ́ pʋyɔɔ yɔ, ɛsɔdaa sɛwa.›."
MAT.16.3,555,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","Tanaŋ cu lɛ, ɩtɔŋ se: ‹Sɔnɔ tɛʋ nɩɣ, mbʋ́ pʋyɔɔ yɔ, ɛsɔdaa sɛwa nɛ pʋwɛɛ yulee.› Ɩsɩm ɛsɔdaa wɛtʋ tɔbʋʋ lɩzʋʋ, ɛlɛ́, ɩɩpɩzɩɣ se ɩlɩzɩ mbʋ́ Ɛsɔ lakɩ mɩ-hɛkʋ taa lɛɛlɛɛyɔ yɔ pʋbʋ ñɩŋgʋ."
MAT.16.4,555,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Lɛɛlɛɛyɔ ɛyáa kɛ azaɣ́a, peyeki Ɛsɔ nɛ poluŋuu wondu nɛ ɖoŋ lɛɛŋ tɛɛ. Pañɩnɩɣ se pala ɛsɔdaa hama lakasɩ nasɩyɩ nɛ pana. Ɛlɛ́, paakaɣ yʋsaɣ nakɛyɛ naʋ nɛ pɩtasɩnɩ náyʋ Yoonaasɩ ñɩŋga.» Pʋwayɩ lɛ, Yesu ɖɛɛ eyebi-wɛ."
MAT.16.5,555,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.",Nakʋyʋ wiye Yesu nɛ ɛ-tɔmkpɛlɩkɩyaa pɛtɛzaɣ teŋgu wayɩ nɛ paba sɔɔ tindine yɔɔ.
MAT.16.6,555,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees. .",Peeɖe ɛpaɣ-wɛ se: «Ɩɖɔkɩ mɩ-tɩ ɖeu nɛ Farɩsɩ ñɩma nɛ Saduki ñɩma pɔ-sɔsɔɔna.».
MAT.16.7,555,"They discussed this among themselves and said, We didnt bring any bread.","Ɛlɛ́, papazɩ ɖama yɔɔdɩnaʋ se: «Yaa ɖɩtakpaɣ tindine yɔɔ ɛkalɩɣ-ɖʋ ḿbʋ́?»."
MAT.16.8,555,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Yesu nɩ ḿbʋ́ lɛ, ɛpɔzɩ-wɛ se: «Lidaʋ ñɩɩɩ tɩnaa mɩ! Pɩlabɩ ɛzɩma nɛ ɩyɔɔdʋʋnɩ ɖama se ɩtakpaɣ tindine?."
MAT.16.9,555,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,Pɩlabɩ ɛzɩma halɩ nɛ sɔnɔ ɩɩnɩɣ? Ɩɩtasɩɣ tɔzʋʋ tindine hɔɔlasɩ kagbaanzɩ nzɩ́ pacalɩnɩ ɛyáa kutokiŋ kagbaanzɩ nɛ ɖɔkɩŋ weyi pɩkazaa nɛ ɩkpaɣ yɔ pʋ-yɔɔ yaa we?.
MAT.16.10,555,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,"Nɛ tindine hɔɔlasɩ lʋbɛ nzɩ́ pacalɩnɩ ɛyáa kutokiŋ naanza nɛ ɖɔkɩŋ weyi pɩkazaa nɛ ɩkpaɣ yɔ, ɩɩtɔzʋʋ pʋ-yɔɔ ɖɔɖɔ yaa we?."
MAT.16.11,555,Dont you know that I wasnt talking about bread? But be on your guard for the yeast of the Pharisees and Sadducees. .,Pɩlabɩ ɛzɩma halɩ nɛ sɔnɔ ɩtatɩɩnɩda se pɩtɛkɛ tindine tɔm mɔyɔɔdaɣnɩ-mɩ? Meheyi-mɩ se ɩɖɔkɩ mɩ-tɩ nɛ Farɩsɩ ñɩma nɛ Saduki ñɩma pɔ-sɔsɔɔna.».
MAT.16.12,555,"Then they understood that he wasnt telling them to be on their guard for yeast used in making bread. No, he was telling them to watch out for the teaching of the Pharisees and Sadducees.","Peeɖe panɩwa se pɩtɛkɛ sɔsɔɔna wena palakɩnɩ tindine yɔ, ana eheyaɣ-wɛ se pɔ́ɖɔ́kɩ pa-tɩ nɛ yɛ. Ɛlɛ́, mbʋ́ Farɩsɩ ñɩma nɛ Saduki ñɩma pawɩlaɣ yɔ, eheyaɣ-wɛ se pɔ́ɖɔ́kɩ pa-tɩ nɛ pʋ."
